Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3574","46.8"
"1080000","0","3588","56.1"
"2159000","2300400","3582","64.7"
"3238000","2300400","3583","73.6"
"4318000","2300400","3582","82.6"
"5653000","2300400","3581","93.6"
"6738000","2300400","3581","102.5"
"7823000","2300400","3583","111.5"
"8902000","2300400","3580","120.4"
"9981000","2312700","3582","129.8"
"11316000","2312700","3581","140.4"
"12395000","2312700","3580","149.3"
"13476000","2312700","3581","158.3"
"14555000","2312700","3582","167.2"
"15635000","2312700","3580","176.2"
"16975000","2312700","3580","187.2"
"18056000","2282400","3581","196.1"
"19135000","2282400","3580","205.1"
"20214000","2282400","3580","214.1"
"21294000","2282400","3581","223.0"
"22628000","2282400","3582","234.4"
"23709000","2282400","3581","243.0"
"24788000","2282400","3582","251.9"
"25867000","2286800","3581","260.5"
"26952000","2286800","3582","269.4"
"28287000","2286800","3583","280.4"
"29367000","2286800","3583","289.4"
"30445000","2286800","3582","298.3"
"31526000","2286800","3584","307.7"
"32606000","2286800","3583","316.2"
"33940000","2297100","3583","327.2"
"35020000","2297100","3584","336.2"
"36100000","2297100","3584","345.5"
"37184000","2297100","3583","354.1"
"38265000","2297100","3583","363.0"
"39600000","2297100","3583","374.0"
"40680000","2297100","3584","382.6"
"41760000","2284100","3584","391.5"
"42840000","2284100","3584","400.5"
"43919000","2284100","3584","409.4"
"45254000","2284100","3584","420.4"
"46339000","2284100","3584","429.8"
"47419000","2284100","3584","438.3"
"48498000","2284100","3584","447.3"
"49583000","2298100","3584","456.2"
"50918000","2298100","3584","467.2"
"51998000","2298100","3584","476.2"
"53078000","2298100","3584","485.1"
"54157000","2298100","3584","494.1"
"55237000","2298100","3584","503.0"
"56577000","2298100","3584","514.0"
"57657000","2296500","3584","523.0"
"58737000","2296500","3584","531.9"
"59816000","2296500","3584","540.9"
"60896000","2296500","3584","549.9"
"62230000","2296500","3585","560.8"
"63310000","2296500","3585","569.8"
"64390000","2296500","3584","578.8"
"65469000","2286900","3585","587.3"
"66553000","2286900","3585","596.3"
"67889000","2286900","3585","607.7"
"68969000","2286900","3585","616.2"
"70049000","2286900","3586","625.2"
"71128000","2286900","3585","634.1"
"72207000","2286900","3586","643.1"
"73543000","2296500","3587","654.1"
"74622000","2296500","3586","663.0"
"75702000","2296500","3587","672.0"
"76787000","2296500","3587","680.9"
"77867000","2296500","3586","689.9"
"79201000","2296500","3586","701.3"
"80281000","2296500","3587","709.8"
"81361000","2299400","3586","718.8"
"82440000","2299400","3586","727.7"
"83520000","2299400","3586","736.7"
"84855000","2299400","3586","748.1"
"85935000","2299400","3586","756.6"
"87020000","2299400","3586","765.6"
"88100000","2299400","3585","774.5"
"89180000","2299300","3586","783.5"
"90516000","2299300","3586","794.5"
"91599000","2299300","3585","803.4"
"92678000","2299300","3585","812.4"
"93757000","2299300","3586","821.8"
"94837000","2299300","3587","830.7"
"96172000","2299300","3586","841.3"
"97257000","2309900","3586","850.7"
"98336000","2309900","3586","859.6"
"99416000","2309900","3586","868.2"
"100495000","2309900","3586","877.1"
"101831000","2309900","3586","888.1"
"102910000","2309900","3586","897.1"
"103990000","2309900","3586","906.0"
"105071000","2286200","3586","915.0"
"106150000","2286200","3586","923.5"
"107490000","2286200","3587","935.3"
"108570000","2286200","3587","943.9"
"109650000","2286200","3587","952.8"
"110729000","2286200","3588","962.2"
"111809000","2286200","3587","970.7"
"113144000","2282600","3588","981.3"
"114224000","2282600","3587","990.3"
"115303000","2282600","3588","999.6"
"116388000","2282600","3587","1008.2"
"117467000","2282600","3588","1017.1"
"118802000","2282600","3588","1028.1"
"119881000","2282600","3587","1037.1"
"120960000","2300000","3588","1046.0"
"122041000","2300000","3587","1055.0"
"123120000","2300000","3588","1064.3"
"124455000","2300000","3588","1074.9"
"125535000","2300000","3588","1083.9"
"126621000","2300000","3587","1092.8"
"127700000","2300000","3588","1102.2"
"128780000","2299100","3587","1110.7"
"130114000","2299100","3586","1121.7"
"131194000","2299100","3586","1130.7"
"132274000","2299100","3586","1139.6"
"133359000","2299100","3587","1149.0"
"134438000","2299100","3587","1158.0"
"135773000","2299100","3587","1169.0"
"136859000","2295200","3587","1177.5"
"137939000","2295200","3587","1186.5"
"139018000","2295200","3588","1195.8"
"140098000","2295200","3588","1204.0"
