Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3549","46.3"
"1085000","0","3561","55.3"
"2164000","2285100","3571","64.3"
"3244000","2285100","3588","73.6"
"4323000","2285100","3585","82.2"
"5658000","2285100","3587","93.2"
"6738000","2285100","3586","102.1"
"7817000","2285100","3589","111.1"
"8896000","2285100","3586","119.6"
"9975000","2286900","3587","128.6"
"11315000","2286900","3585","139.6"
"12395000","2286900","3585","148.1"
"13475000","2286900","3585","157.1"
"14554000","2286900","3585","166.0"
"15634000","2286900","3589","175.4"
"16968000","2286900","3588","186.0"
"18048000","2268900","3589","194.5"
"19127000","2268900","3587","203.5"
"20206000","2268900","3587","212.4"
"21292000","2268900","3586","221.4"
"22627000","2268900","3586","232.4"
"23707000","2268900","3587","241.3"
"24787000","2268900","3588","249.9"
"25866000","2284900","3588","258.8"
"26946000","2284900","3588","267.8"
"28281000","2284900","3587","278.8"
"29360000","2284900","3587","287.7"
"30441000","2284900","3588","296.7"
"31530000","2284900","3587","305.6"
"32608000","2284900","3587","314.6"
"33943000","2281500","3586","325.2"
"35022000","2281500","3586","334.1"
"36102000","2281500","3586","343.1"
"37182000","2281500","3586","352.0"
"38261000","2281500","3588","360.6"
"39596000","2281500","3588","372.0"
"40677000","2281500","3588","380.5"
"41762000","2299400","3588","389.9"
"42842000","2299400","3587","398.4"
"43922000","2299400","3587","407.4"
"45257000","2299400","3587","418.0"
"46336000","2299400","3587","426.9"
"47415000","2299400","3586","435.9"
"48494000","2299400","3586","444.8"
"49574000","2272000","3586","453.8"
"50910000","2272000","3587","464.4"
"51995000","2272000","3586","473.3"
"53075000","2272000","3587","482.3"
"54155000","2272000","3587","490.8"
"55235000","2272000","3587","499.8"
"56571000","2272000","3587","510.8"
"57651000","2281700","3589","520.1"
"58730000","2281700","3588","528.7"
"59810000","2281700","3587","537.6"
"60889000","2281700","3587","546.2"
"62230000","2281700","3588","557.6"
"63310000","2281700","3587","566.1"
"64389000","2281700","3587","575.5"
"65470000","2270100","3588","584.0"
"66549000","2270100","3588","592.6"
"67884000","2270100","3588","604.0"
"68963000","2270100","3588","612.5"
"70042000","2270100","3588","621.5"
"71127000","2270100","3588","630.0"
"72208000","2270100","3587","639.0"
"73547000","2267400","3587","650.0"
"74626000","2267400","3587","658.9"
"75706000","2267400","3587","667.5"
"76786000","2267400","3587","676.4"
"77864000","2267400","3588","685.4"
"79199000","2267400","3587","696.4"
"80279000","2267400","3586","705.3"
"81364000","2285300","3586","714.3"
"82444000","2285300","3587","722.8"
"83523000","2285300","3587","732.2"
"84858000","2285300","3587","742.8"
"85939000","2285300","3587","751.7"
"87018000","2285300","3586","760.3"
"88096000","2285300","3587","769.6"
"89176000","2272200","3586","778.2"
"90511000","2272200","3587","789.2"
"91596000","2272200","3588","798.1"
"92676000","2272200","3587","806.7"
"93755000","2272200","3588","816.0"
"94834000","2272200","3586","824.6"
"96169000","2272200","3587","836.0"
"97248000","2283200","3587","844.5"
"98327000","2283200","3587","853.1"
"99408000","2283200","3587","862.0"
"100487000","2283200","3587","871.0"
"101829000","2283200","3587","881.9"
"102908000","2283200","3588","890.5"
"103987000","2283200","3587","899.4"
"105067000","2284500","3588","908.8"
"106147000","2284500","3588","917.8"
"107481000","2284500","3588","927.9"
"108562000","2284500","3588","936.9"
"109640000","2284500","3588","945.8"
"110719000","2284500","3588","954.8"
"111804000","2284500","3588","963.8"
"113139000","2254900","3588","974.3"
"114219000","2254900","3588","983.7"
"115298000","2254900","3587","992.2"
"116382000","2254900","3587","1001.2"
"117460000","2254900","3587","1009.7"
"118794000","2254900","3586","1020.7"
"119874000","2254900","3587","1029.7"
"120953000","2271600","3586","1038.2"
"122037000","2271600","3586","1047.2"
"123116000","2271600","3586","1056.1"
"124452000","2271600","3586","1067.1"
"125532000","2271600","3586","1075.7"
"126611000","2271600","3586","1085.0"
"127691000","2271600","3587","1094.0"
"128770000","2285300","3586","1102.5"
"130105000","2285300","3586","1113.5"
"131189000","2285300","3586","1122.5"
"132269000","2285300","3586","1131.0"
"133349000","2285300","3586","1140.0"
"134428000","2285300","3585","1148.9"
"135763000","2285300","3586","1159.9"
"136842000","2268900","3587","1168.5"
"137922000","2268900","3587","1177.8"
"139001000","2268900","3587","1186.8"
"140081000","2268900","3586","1195.3"
"141420000","2268900","3587","1206.3"
"142500000","2268900","3587","1215.3"
"143580000","2268900","3587","1223.8"
"144659000","2285300","3586","1232.8"
"145738000","2285300","3586","1241.7"
"147074000","2285300","3586","1252.3"
"148153000","2285300","3585","1261.3"
"149232000","2285300","3585","1270.2"
"150312000","2285300","3585","1279.2"
"151397000","2285300","3585","1288.1"
"152732000","2268500","3586","1298.7"
"153811000","2268500","3585","1307.7"
"154891000","2268500","3585","1316.6"
"155971000","2268500","3585","1325.6"
"157051000","2268500","3586","1334.5"
"158391000","2268500","3585","1345.1"
"159470000","2268500","3585","1354.1"
"160550000","2285100","3585","1363.0"
"161635000","2285100","3585","1372.4"
"162714000","2285100","3585","1381.4"
"164050000","2285100","3584","1391.5"
"165128000","2285100","3584","1400.5"
"166208000","2285100","3584","1409.4"
