Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3576","55.0"
"1093000","2673900","3579","65.5"
"2193000","2673900","3584","76.1"
"3286000","2673900","3580","86.3"
"4378000","2673900","3578","96.9"
"5728000","2673900","3579","110.0"
"6822000","2673900","3583","120.1"
"7915000","2654400","3582","130.7"
"9009000","2654400","3585","141.7"
"10103000","2654400","3586","152.3"
"11451000","2654400","3584","165.0"
"12550000","2654400","3585","175.1"
"13643000","2654400","3582","185.7"
"14737000","2687800","3585","196.7"
"15830000","2687800","3584","206.9"
"17178000","2687800","3583","219.6"
"18272000","2687800","3584","230.2"
"19365000","2687800","3583","240.3"
"20458000","2687800","3585","251.3"
"21557000","2638200","3583","261.5"
"22911000","2638200","3583","274.6"
"24004000","2638200","3584","284.7"
"25097000","2638200","3583","295.3"
"26191000","2638200","3583","305.9"
"27284000","2638200","3584","316.9"
"28633000","2655100","3584","329.2"
"29726000","2655100","3584","339.8"
"30820000","2655100","3585","350.8"
"31919000","2655100","3586","361.3"
"33012000","2655100","3585","371.5"
"34360000","2655100","3586","384.6"
"35454000","2671400","3585","394.8"
"36547000","2671400","3584","405.3"
"37640000","2671400","3585","415.9"
"38733000","2671400","3584","426.1"
"40082000","2671400","3584","439.2"
"41175000","2671400","3585","450.2"
"42275000","2688300","3585","460.8"
"43368000","2688300","3586","471.4"
"44462000","2688300","3586","481.5"
"45811000","2688300","3586","494.2"
"46904000","2688300","3585","504.8"
"47998000","2688300","3586","515.8"
"49090000","2673600","3587","526.4"
"50184000","2673600","3587","536.1"
"51539000","2673600","3586","549.2"
"52632000","2673600","3586","559.8"
"53726000","2673600","3587","570.0"
"54819000","2673600","3587","580.5"
"55913000","2653900","3588","591.6"
"57261000","2653900","3589","604.6"
"58355000","2653900","3588","614.4"
"59447000","2653900","3588","625.0"
"60540000","2653900","3588","635.6"
"61639000","2653900","3588","646.1"
"62989000","2639000","3589","658.8"
"64083000","2639000","3588","669.4"
"65182000","2639000","3589","680.0"
"66275000","2639000","3587","690.6"
"67368000","2639000","3588","701.6"
"68716000","2639000","3589","713.8"
"69809000","2671600","3588","724.4"
"70903000","2671600","3590","735.4"
"72002000","2671600","3589","745.6"
"73095000","2671600","3590","756.6"
"74444000","2671600","3590","768.8"
"75538000","2671600","3589","779.4"
"76631000","2671100","3590","790.0"
"77726000","2671100","3590","800.2"
"78819000","2671100","3591","811.2"
"80168000","2671100","3592","823.8"
"81261000","2671100","3592","834.0"
"82359000","2671100","3592","845.0"
"83452000","2654700","3592","855.2"
"84546000","2654700","3591","865.8"
"85896000","2654700","3592","878.8"
"86989000","2654700","3592","889.0"
"88083000","2654700","3591","899.6"
"89176000","2654700","3590","910.2"
"90270000","2656200","3591","920.3"
"91624000","2656200","3591","933.4"
"92716000","2656200","3590","944.0"
"93809000","2656200","3591","954.6"
"94903000","2656200","3590","964.8"
"95996000","2656200","3590","975.4"
"97345000","2671200","3590","988.4"
"98439000","2671200","3590","998.6"
"99533000","2671200","3589","1009.2"
"100626000","2671200","3588","1019.8"
"101726000","2671200","3588","1030.4"
"103075000","2671200","3589","1043.0"
"104168000","2654200","3589","1053.6"
"105262000","2654200","3588","1064.2"
"106355000","2654200","3588","1075.2"
"107454000","2654200","3588","1085.4"
"108803000","2654200","3589","1098.0"
"109896000","2654200","3589","1109.0"
"110990000","2671100","3588","1119.2"
"112089000","2671100","3588","1129.8"
"113183000","2671100","3588","1140.8"
"114532000","2671100","3587","1153.0"
"115624000","2671100","3587","1163.6"
"116718000","2671100","3587","1174.2"
"117813000","2653900","3588","1184.4"
"118906000","2653900","3588","1195.0"
"120255000","2653900","3587","1208.0"
"121349000","2653900","3588","1218.2"
"122448000","2653900","3587","1228.8"
"123541000","2653900","3588","1239.4"
"124634000","2671100","3587","1250.0"
"125983000","2671100","3587","1262.6"
"127077000","2671100","3588","1273.2"
"128171000","2671100","3587","1283.8"
"129264000","2671100","3588","1294.8"
"130358000","2671100","3587","1305.0"
"131712000","2654400","3588","1317.6"
"132805000","2654400","3588","1328.2"
"133900000","2654400","3588","1339.2"
"134992000","2654400","3587","1349.4"
"136086000","2654400","3587","1360.4"
"137433000","2654400","3587","1372.6"
"138527000","2673900","3586","1383.2"
"139621000","2673900","3587","1394.2"
"140715000","2673900","3587","1404.4"
"141814000","2673900","3587","1415.0"
"143162000","2673900","3587","1428.0"
"144256000","2673900","3586","1438.6"
"145349000","2670900","3587","1448.8"
"146442000","2670900","3587","1459.4"
"147535000","2670900","3586","1470.0"
"148889000","2670900","3586","1482.6"
"149983000","2670900","3587","1493.6"
"151076000","2670900","3587","1503.8"
"152175000","2669400","3587","1514.4"
"153269000","2669400","3588","1524.6"
"154618000","2669400","3588","1537.6"
"155711000","2669400","3587","1548.2"
"156805000","2669400","3588","1558.8"
"157898000","2669400","3589","1569.0"
"158992000","2673100","3589","1580.0"
"160339000","2673100","3588","1592.2"
"161432000","2673100","3588","1602.8"
"162531000","2673100","3588","1613.8"
"163624000","2673100","3588","1624.4"
"164718000","2673100","3588","1634.2"
"166067000","2655300","3588","1647.6"
"167161000","2655300","3588","1658.2"
"168254000","2655300","3588","1668.4"
"169348000","2655300","3589","1678.6"
"170440000","2655300","3588","1689.2"
"171795000","2655300","3588","1702.2"
"172888000","2671600","3589","1713.2"
"173981000","2671600","3589","1723.4"
"175073000","2671600","3589","1733.6"
"176167000","2671600","3588","1744.2"
"177517000","2671600","3588","1757.2"
"178611000","2671600","3588","1767.4"
"179704000","2639700","3588","1778.0"
"180798000","2639700","3588","1788.6"
"181897000","2639700","3589","1799.6"
"183245000","2639700","3588","1811.8"
"184338000","2639700","3588","1822.8"
"185432000","2639700","3588","1833.0"
"186526000","2671400","3587","1843.6"
"187619000","2671400","3588","1853.8"
"188968000","2671400","3587","1867.2"
"190061000","2671400","3587","1877.4"
"191159000","2671400","3587","1887.6"
"192258000","2671400","3587","1898.6"
"193352000","2652700","3586","1908.8"
"194700000","2652700","3587","1922.2"
"195793000","2652700","3587","1932.4"
"196887000","2652700","3587","1943.0"
"197980000","2652700","3587","1953.2"
"199073000","2652700","3587","1963.8"
"200423000","2673100","3587","1976.8"
"201516000","2673100","3586","1987.4"
"202615000","2673100","3587","1997.6"
"203709000","2673100","3587","2008.2"
"204803000","2673100","3588","2019.2"
"206152000","2673100","3587","2031.4"
"207246000","2653900","3587","2042.0"
"208339000","2653900","3587","2053.0"
"209432000","2653900","3587","2063.2"
"210526000","2653900","3587","2073.8"
"211880000","2653900","3588","2086.4"
"212973000","2653900","3588","2097.0"
"214067000","2688100","3588","2108.0"
"215160000","2688100","3587","2118.2"
"216252000","2688100","3587","2128.8"
"217600000","2688100","3587","2141.4"
"218693000","2688100","3587","2152.0"
"219786000","2688100","3587","2162.2"
"220879000","2657900","3586","2173.2"
"221978000","2657900","3587","2183.4"
"223327000","2657900","3586","2196.4"
"224421000","2657900","3587","2206.6"
"225515000","2657900","3587","2217.2"
"226608000","2657900","3588","2228.2"
"227702000","2670900","3588","2238.8"
"229050000","2670900","3588","2251.4"
"230143000","2670900","3587","2261.6"
"231237000","2670900","3588","2272.2"
"232336000","2670900","3588","2283.2"
"233434000","2670900","3589","2293.4"
"234783000","2652900","3589","2306.4"
"235877000","2652900","3588","2317.0"
"236970000","2652900","3590","2327.6"
"238064000","2652900","3590","2337.8"
"239157000","2652900","3589","2348.4"
"240506000","2652900","3589","2361.0"
"241606000","2670900","3590","2372.0"
"242700000","2670900","3590","2382.6"
"243793000","2670900","3589","2392.8"
"244887000","2670900","3590","2403.0"
"246234000","2670900","3590","2416.5"
"247329000","2670900","3591","2427.1"
"248421000","2673600","3591","2437.6"
"249515000","2673600","3592","2447.4"
"250609000","2673600","3591","2458.0"
"251962000","2673600","3591","2471.5"
"253056000","2673600","3591","2481.6"
"254150000","2673600","3591","2491.8"
"255242000","2638000","3591","2502.4"
"256336000","2638000","3591","2513.0"
"257686000","2638000","3591","2525.6"
"258779000","2638000","3591","2536.2"
"259873000","2638000","3592","2546.4"
"260967000","2638000","3593","2557.0"
"262066000","2653700","3591","2567.6"
"263415000","2653700","3592","2580.2"
"264509000","2653700","3592","2591.2"
"265603000","2653700","3591","2601.4"
"266696000","2653700","3592","2612.0"
"267790000","2653700","3592","2622.2"
"269139000","2672400","3592","2635.7"
"270232000","2672400","3592","2645.8"
"271326000","2672400","3592","2656.0"
"272425000","2672400","3593","2666.6"
"273519000","2672400","3592","2677.2"
"274871000","2672400","3592","2690.2"
"275964000","2636200","3593","2700.4"
"277058000","2636200","3593","2711.4"
"278152000","2636200","3592","2721.6"
"279246000","2636200","3593","2732.6"
"280594000","2636200","3593","2745.3"
"281694000","2636200","3592","2755.4"
"282787000","2687600","3592","2766.4"
"283880000","2687600","3592","2777.0"
"284974000","2687600","3592","2787.6"
"286323000","2687600","3592","2799.8"
"287416000","2687600","3592","2810.9"
"288510000","2687600","3592","2821.0"
"289603000","2640000","3591","2831.2"
"290696000","2640000","3591","2841.8"
"292049000","2640000","3592","2855.3"
"293143000","2640000","3592","2865.9"
"294238000","2640000","3592","2875.6"
"295331000","2640000","3592","2886.2"
"296424000","2688100","3592","2897.2"
"297773000","2688100","3593","2910.3"
"298867000","2688100","3592","2920.0"
"299960000","2688100","3592","2931.0"
