Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3621","46.3"
"1081000","0","3586","55.3"
"2160000","2286800","3581","64.3"
"3245000","2286800","3589","73.6"
"4325000","2286800","3584","82.2"
"5659000","2286800","3585","93.2"
"6739000","2286800","3587","101.7"
"7818000","2286800","3582","110.7"
"8898000","2286800","3582","119.6"
"9977000","2285300","3582","128.6"
"11313000","2285300","3583","139.6"
"12393000","2285300","3584","148.1"
"13478000","2285300","3583","157.1"
"14558000","2285300","3584","166.0"
"15637000","2285300","3583","175.0"
"16976000","2285300","3584","186.0"
"18056000","2281200","3583","194.9"
"19134000","2281200","3585","204.3"
"20215000","2281200","3584","212.8"
"21294000","2281200","3586","221.8"
"22633000","2281200","3586","232.4"
"23713000","2281200","3587","241.3"
"24793000","2281200","3585","250.3"
"25872000","2285400","3584","259.2"
"26952000","2285400","3586","268.6"
"28287000","2285400","3585","279.2"
"29367000","2285400","3585","288.1"
"30447000","2285400","3585","297.1"
"31527000","2285400","3585","305.6"
"32612000","2285400","3585","314.6"
"33946000","2282600","3584","325.6"
"35026000","2282600","3584","334.5"
"36105000","2282600","3585","343.5"
"37184000","2282600","3584","352.0"
"38265000","2282600","3584","361.0"
"39600000","2282600","3584","372.0"
"40679000","2282600","3584","380.9"
"41758000","2286600","3584","389.9"
"42843000","2286600","3584","398.8"
"43924000","2286600","3584","407.4"
"45259000","2286600","3584","418.8"
"46338000","2286600","3584","427.3"
"47417000","2286600","3584","436.3"
"48496000","2286600","3584","445.2"
"49576000","2285100","3585","454.2"
"50911000","2285100","3584","464.8"
"51990000","2285100","3584","473.7"
"53075000","2285100","3584","482.7"
"54154000","2285100","3584","491.6"
"55233000","2285100","3584","500.6"
"56568000","2285100","3583","511.6"
"57648000","2269000","3584","520.1"
"58732000","2269000","3584","529.5"
"59811000","2269000","3584","538.0"
"60891000","2269000","3586","547.0"
"62226000","2269000","3585","558.0"
"63310000","2269000","3585","566.9"
"64390000","2269000","3586","575.9"
"65470000","2312900","3587","585.2"
"66549000","2312900","3586","593.8"
"67883000","2312900","3586","604.8"
"68963000","2312900","3587","613.3"
"70043000","2312900","3588","622.3"
"71123000","2312900","3587","631.2"
"72203000","2312900","3588","640.2"
"73543000","2268500","3588","651.2"
"74622000","2268500","3587","660.1"
"75701000","2268500","3586","669.1"
