Time,Voltage (V),Current (A),Power (W),Temperature (°C),Data+ (V),Data- (V),Resistance (Ω),Accumulated current (mAh),Accumulated power (mWh),Accumulated time (seconds)
2020-09-27 00:54:22,5.216,0.5655,2.949,23.0,1.03,0.49,9.2,59296,98005,244505
2020-09-27 00:54:23,5.213,0.5674,2.957,23.0,1.03,0.49,9.1,59297,98007,244507
2020-09-27 00:54:25,5.211,0.5657,2.947,23.0,1.03,0.49,9.2,59297,98008,244508
2020-09-27 00:54:26,5.192,0.694,3.603,23.0,1.03,0.49,7.4,59297,98009,244509
2020-09-27 00:54:27,5.192,0.6255,3.247,23.0,1.03,0.49,8.3,59297,98011,244511
2020-09-27 00:54:29,5.189,0.6936,3.599,23.0,1.03,0.49,7.4,59298,98011,244512
2020-09-27 00:54:30,5.192,0.6939,3.602,23.0,1.01,0.49,7.4,59298,98012,244513
2020-09-27 00:54:31,5.192,0.6938,3.602,23.0,1.01,0.49,7.4,59298,98014,244515
2020-09-27 00:54:33,5.192,0.694,3.603,23.0,1.01,0.49,7.4,59298,98015,244516
2020-09-27 00:54:34,5.192,0.6228,3.233,23.0,1.01,0.49,8.3,59298,98016,244517
2020-09-27 00:54:35,5.192,0.7074,3.672,23.0,1.01,0.49,7.3,59299,98018,244519
2020-09-27 00:54:37,5.193,0.6834,3.548,23.0,1.01,0.49,7.5,59299,98019,244520
2020-09-27 00:54:38,5.195,0.6767,3.515,23.0,1.01,0.49,7.6,59299,98020,244521
2020-09-27 00:54:39,5.195,0.6765,3.514,23.0,1.01,0.49,7.6,59300,98022,244523
2020-09-27 00:54:41,5.192,0.6985,3.626,23.0,1.01,0.49,7.4,59300,98023,244524
2020-09-27 00:54:42,5.192,0.6944,3.605,23.0,1.01,0.48,7.4,59300,98024,244525
2020-09-27 00:54:43,5.192,0.6944,3.605,23.0,1.01,0.49,7.4,59300,98026,244527
2020-09-27 00:54:45,5.192,0.6946,3.606,23.0,1.01,0.49,7.4,59301,98027,244528
2020-09-27 00:54:46,5.192,0.6945,3.605,23.0,1.01,0.49,7.4,59301,98028,244529
2020-09-27 00:54:47,5.203,0.6231,3.241,23.0,1.01,0.48,8.3,59301,98030,244531
2020-09-27 00:54:49,5.203,0.623,3.241,23.0,1.01,0.49,8.3,59301,98031,244532
2020-09-27 00:54:50,5.203,0.6229,3.24,23.0,1.01,0.49,8.3,59302,98033,244534
2020-09-27 00:54:51,5.203,0.623,3.241,23.0,1.01,0.49,8.3,59302,98034,244535
2020-09-27 00:54:53,5.203,0.62,3.225,23.0,1.03,0.49,8.3,59302,98035,244536
2020-09-27 00:54:54,5.203,0.659,3.428,23.0,1.03,0.49,7.8,59302,98037,244538
2020-09-27 00:54:55,5.203,0.6231,3.241,23.0,1.03,0.49,8.3,59303,98038,244539
2020-09-27 00:54:57,5.204,0.6243,3.248,23.0,1.03,0.49,8.3,59303,98038,244540
2020-09-27 00:54:58,5.203,0.6334,3.295,23.0,1.03,0.49,8.2,59303,98040,244542
2020-09-27 00:54:59,5.203,0.6202,3.226,23.0,1.03,0.49,8.3,59303,98041,244543
2020-09-27 00:55:01,5.203,0.6249,3.251,23.0,1.03,0.49,8.3,59303,98042,244544
2020-09-27 00:55:02,5.193,0.6231,3.235,23.0,1.03,0.49,8.3,59304,98044,244546
2020-09-27 00:55:03,5.191,0.6952,3.608,23.0,1.03,0.49,7.4,59304,98045,244547
2020-09-27 00:55:05,5.192,0.6949,3.607,23.0,1.03,0.49,7.4,59304,98046,244548
2020-09-27 00:55:06,5.191,0.6947,3.606,23.0,1.03,0.49,7.4,59305,98048,244550
2020-09-27 00:55:07,5.192,0.6949,3.607,23.0,1.03,0.49,7.4,59305,98049,244551
2020-09-27 00:55:09,5.192,0.6948,3.607,23.0,1.03,0.49,7.4,59305,98050,244552
2020-09-27 00:55:10,5.203,0.6777,3.526,23.0,1.03,0.49,7.6,59305,98052,244554
2020-09-27 00:55:11,5.192,0.7078,3.674,23.0,1.01,0.49,7.3,59305,98053,244555
2020-09-27 00:55:13,5.191,0.695,3.607,23.0,1.01,0.48,7.4,59306,98054,244556
2020-09-27 00:55:14,5.191,0.695,3.607,23.0,1.01,0.49,7.4,59306,98056,244558
2020-09-27 00:55:15,5.191,0.6949,3.607,23.0,1.03,0.49,7.4,59306,98057,244559
2020-09-27 00:55:17,5.191,0.6947,3.606,24.0,1.03,0.49,7.4,59306,98058,244560
2020-09-27 00:55:18,5.191,0.6947,3.606,23.0,1.03,0.49,7.4,59307,98060,244562
2020-09-27 00:55:19,5.192,0.6948,3.607,24.0,1.03,0.49,7.4,59307,98061,244563
2020-09-27 00:55:21,5.191,0.6947,3.606,23.0,1.03,0.49,7.4,59307,98062,244564
2020-09-27 00:55:22,5.191,0.693,3.597,23.0,1.03,0.49,7.4,59308,98064,244566
2020-09-27 00:55:24,5.192,0.695,3.608,23.0,1.03,0.49,7.4,59308,98065,244567
2020-09-27 00:55:25,5.191,0.6944,3.604,24.0,1.03,0.49,7.4,59308,98066,244568
2020-09-27 00:55:26,5.191,0.7082,3.676,24.0,1.03,0.49,7.3,59308,98068,244570
2020-09-27 00:55:28,5.192,0.695,3.608,24.0,1.03,0.49,7.4,59309,98069,244571
2020-09-27 00:55:29,5.191,0.6852,3.556,24.0,1.03,0.49,7.5,59309,98070,244572
2020-09-27 00:55:30,5.191,0.6948,3.606,24.0,1.03,0.49,7.4,59309,98072,244574
2020-09-27 00:55:32,5.191,0.6949,3.607,24.0,1.03,0.49,7.4,59309,98073,244575
2020-09-27 00:55:33,5.191,0.695,3.607,24.0,1.03,0.49,7.4,59310,98075,244577
2020-09-27 00:55:34,5.201,0.6239,3.244,24.0,1.03,0.49,8.3,59310,98076,244578
2020-09-27 00:55:36,5.189,0.695,3.606,24.0,1.03,0.49,7.4,59310,98077,244579
2020-09-27 00:55:37,5.192,0.6836,3.549,24.0,1.01,0.48,7.5,59310,98079,244581
2020-09-27 00:55:38,5.195,0.6755,3.509,24.0,1.01,0.49,7.6,59311,98080,244582
2020-09-27 00:55:40,5.195,0.6741,3.501,24.0,1.01,0.48,7.7,59311,98081,244583
2020-09-27 00:55:41,5.191,0.6948,3.606,24.0,1.01,0.49,7.4,59311,98083,244585
2020-09-27 00:55:42,5.191,0.6947,3.606,24.0,1.01,0.48,7.4,59311,98084,244586
2020-09-27 00:55:44,5.191,0.6949,3.607,24.0,1.01,0.48,7.4,59312,98085,244587
2020-09-27 00:55:45,5.191,0.709,3.68,24.0,1.01,0.49,7.3,59312,98087,244589
2020-09-27 00:55:46,5.191,0.6812,3.536,24.0,1.01,0.48,7.6,59312,98088,244590
2020-09-27 00:55:48,5.191,0.6952,3.608,24.0,1.01,0.48,7.4,59312,98089,244591
2020-09-27 00:55:49,5.191,0.6954,3.609,24.0,1.01,0.49,7.4,59313,98091,244593
2020-09-27 00:55:50,5.191,0.6952,3.608,24.0,1.01,0.49,7.4,59313,98092,244594
2020-09-27 00:55:52,5.192,0.6751,3.505,24.0,1.01,0.48,7.6,59313,98093,244595
2020-09-27 00:55:53,5.194,0.695,3.609,24.0,1.01,0.48,7.4,59314,98095,244597
2020-09-27 00:55:54,5.191,0.6949,3.607,24.0,1.01,0.48,7.4,59314,98096,244598
2020-09-27 00:55:56,5.191,0.695,3.607,24.0,1.01,0.48,7.4,59314,98097,244599
2020-09-27 00:55:57,5.191,0.696,3.612,24.0,1.01,0.48,7.4,59314,98099,244601
2020-09-27 00:55:58,5.191,0.6241,3.239,24.0,1.03,0.49,8.3,59315,98100,244602
2020-09-27 00:56:00,5.191,0.695,3.607,24.0,1.03,0.49,7.4,59315,98101,244603
2020-09-27 00:56:01,5.191,0.6954,3.609,24.0,1.03,0.49,7.4,59315,98103,244605
2020-09-27 00:56:02,5.191,0.7086,3.678,24.0,1.03,0.49,7.3,59315,98104,244606
2020-09-27 00:56:04,5.191,0.6952,3.608,24.0,1.03,0.49,7.4,59315,98105,244607
2020-09-27 00:56:05,5.21,0.5824,3.034,24.0,1.03,0.49,8.9,59316,98107,244609
2020-09-27 00:56:06,5.213,0.573,2.987,24.0,1.03,0.49,9.0,59316,98107,244610
2020-09-27 00:56:08,5.213,0.5676,2.958,24.0,1.03,0.49,9.1,59316,98108,244611
