Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3580","46.3"
"1079000","0","3601","55.7"
"2158000","2285400","3591","64.3"
"3237000","2285400","3592","72.8"
"4316000","2285400","3584","81.8"
"5656000","2285400","3591","93.2"
"6735000","2285400","3590","101.3"
"7815000","2285400","3591","110.2"
"8894000","2285400","3587","119.2"
"9973000","2285800","3590","128.6"
"11308000","2285800","3589","139.1"
"12388000","2285800","3589","147.7"
"13468000","2285800","3591","157.1"
"14547000","2285800","3590","165.6"
"15632000","2285800","3590","174.6"
"16967000","2285800","3593","185.1"
"18046000","2254400","3594","194.1"
"19126000","2254400","3593","203.0"
"20205000","2254400","3592","212.0"
"21289000","2254400","3593","221.0"
"22624000","2254400","3593","231.5"
"23703000","2254400","3591","240.5"
"24783000","2254400","3592","249.9"
"25869000","2283700","3590","258.4"
"26948000","2283700","3590","267.4"
"28284000","2283700","3591","278.8"
"29363000","2283700","3591","286.9"
"30443000","2283700","3591","295.8"
"31522000","2283700","3591","304.8"
"32601000","2283700","3591","313.8"
"33937000","2270000","3590","324.3"
"35016000","2270000","3591","333.3"
"36100000","2270000","3592","342.2"
"37181000","2270000","3591","351.2"
"38260000","2270000","3591","360.2"
"39595000","2270000","3592","370.7"
"40675000","2270000","3591","379.7"
"41753000","2285400","3591","388.6"
"42834000","2285400","3592","397.2"
"43913000","2285400","3592","406.1"
"45248000","2285400","3593","417.5"
"46333000","2285400","3593","426.1"
"47411000","2285400","3593","435.0"
"48491000","2285400","3592","443.6"
"49570000","2270700","3592","452.5"
"50905000","2270700","3592","463.5"
"51984000","2270700","3592","472.5"
"53063000","2270700","3591","481.0"
"54142000","2270700","3591","490.0"
"55222000","2270700","3591","498.9"
"56562000","2270700","3591","509.9"
"57642000","2269000","3591","518.5"
"58722000","2269000","3590","527.4"
"59801000","2269000","3590","536.4"
"60880000","2269000","3591","545.3"
"62214000","2269000","3590","555.9"
"63298000","2269000","3590","564.9"
"64378000","2269000","3591","574.2"
"65462000","2284300","3591","582.8"
"66541000","2284300","3591","591.3"
"67876000","2284300","3591","602.3"
"68955000","2284300","3592","611.7"
"70034000","2284300","3590","620.2"
"71113000","2284300","3592","628.8"
"72192000","2284300","3592","638.1"
"73527000","2270900","3591","648.7"
"74607000","2270900","3591","658.1"
"75692000","2270900","3591","666.2"
"76772000","2270900","3592","675.2"
