Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3590","46.8"
"1079000","0","3593","55.7"
"2157000","2279800","3596","64.3"
"3242000","2279800","3590","73.6"
"4322000","2279800","3591","82.2"
"5656000","2279800","3585","93.2"
"6734000","2279800","3584","102.1"
"7813000","2279800","3589","111.5"
"8892000","2279800","3590","120.4"
"9971000","2300800","3586","129.0"
"11305000","2300800","3587","139.6"
"12384000","2300800","3588","148.5"
"13469000","2300800","3589","157.5"
"14548000","2300800","3588","166.4"
"15626000","2300800","3587","175.4"
"16961000","2300800","3586","186.4"
"18039000","2284100","3587","195.3"
"19117000","2284100","3585","204.3"
"20197000","2284100","3588","212.8"
"21276000","2284100","3589","221.8"
"22610000","2284100","3587","232.8"
"23694000","2284100","3586","241.7"
"24771000","2284100","3588","251.1"
"25849000","2287300","3587","259.6"
"26928000","2287300","3588","268.2"
"28261000","2287300","3586","279.2"
"29340000","2287300","3587","288.5"
"30419000","2287300","3588","297.5"
"31498000","2287300","3587","306.0"
"32576000","2287300","3587","315.0"
"33916000","2284600","3588","326.0"
"34995000","2284600","3587","334.5"
"36074000","2284600","3588","343.5"
"37152000","2284600","3588","352.8"
"38231000","2284600","3587","361.4"
"39570000","2284600","3587","372.4"
"40648000","2284600","3587","381.3"
"41727000","2286900","3587","390.3"
"42805000","2286900","3587","398.8"
"43889000","2286900","3587","407.8"
"45223000","2286900","3586","418.8"
"46302000","2286900","3586","427.7"
"47381000","2286900","3586","436.7"
"48458000","2286900","3585","445.6"
"49538000","2272600","3586","454.2"
"50871000","2272600","3585","465.2"
"51949000","2272600","3585","474.1"
"53028000","2272600","3585","483.1"
"54112000","2272600","3585","491.6"
"55191000","2272600","3585","501.0"
"56526000","2272600","3585","511.6"
"57603000","2284800","3584","520.5"
"58682000","2284800","3585","529.9"
"59762000","2284800","3585","538.9"
"60841000","2284800","3585","547.0"
"62175000","2284800","3585","558.0"
"63260000","2284800","3586","567.3"
"64339000","2284800","3585","575.9"
"65418000","2286000","3585","584.8"
"66497000","2286000","3586","593.4"
"67831000","2286000","3586","604.8"
"68910000","2286000","3587","613.3"
"69990000","2286000","3587","622.7"
"71070000","2286000","3587","631.2"
"72149000","2286000","3588","640.6"
"73488000","2283500","3588","651.2"
"74566000","2283500","3588","660.1"
"75645000","2283500","3589","668.7"
"76724000","2283500","3587","677.6"
"77803000","2283500","3587","686.6"
"79138000","2283500","3588","697.6"
"80216000","2283500","3588","706.5"
"81294000","2273900","3587","715.1"
"82377000","2273900","3588","724.0"
"83461000","2273900","3587","733.4"
"84795000","2273900","3588","744.0"
"85874000","2273900","3587","752.9"
"86953000","2273900","3587","761.9"
"88032000","2273900","3588","771.3"
"89111000","2299800","3588","779.8"
