Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3576","46.8"
"1080000","0","3586","55.3"
"2159000","2285400","3575","64.3"
"3238000","2285400","3575","73.2"
"4317000","2285400","3576","82.2"
"5651000","2285400","3578","93.2"
"6732000","2285400","3581","102.1"
"7811000","2285400","3579","111.1"
"8889000","2285400","3581","119.6"
"9978000","2284500","3580","128.6"
"11313000","2284500","3584","139.6"
"12392000","2284500","3586","148.5"
"13471000","2284500","3584","157.5"
"14551000","2284500","3584","166.4"
"15630000","2284500","3584","175.4"
"16965000","2284500","3585","186.4"
"18045000","2298700","3585","195.3"
"19124000","2298700","3587","203.9"
"20209000","2298700","3585","213.2"
"21288000","2298700","3588","221.8"
"22623000","2298700","3588","233.2"
"23702000","2298700","3588","241.7"
"24781000","2298700","3587","250.7"
"25860000","2285800","3587","259.6"
"26940000","2285800","3587","268.6"
"28274000","2285800","3587","279.6"
"29353000","2285800","3586","288.5"
"30437000","2285800","3588","297.1"
"31516000","2285800","3588","306.4"
"32596000","2285800","3589","315.0"
"33932000","2283200","3588","326.0"
"35012000","2283200","3587","334.9"
"36092000","2283200","3587","343.9"
"37171000","2283200","3589","353.3"
"38250000","2283200","3588","361.4"
"39585000","2283200","3589","372.4"
"40671000","2283200","3589","381.7"
"41750000","2284900","3589","390.3"
"42830000","2284900","3590","399.7"
"43909000","2284900","3589","408.2"
"45244000","2284900","3590","419.6"
"46324000","2284900","3589","428.1"
"47404000","2284900","3589","437.1"
"48484000","2284900","3590","446.5"
"49563000","2301000","3589","455.0"
"50904000","2301000","3589","465.6"
"51989000","2301000","3590","474.5"
"53069000","2301000","3589","483.5"
"54147000","2301000","3589","492.4"
"55226000","2301000","3589","501.4"
"56562000","2301000","3590","512.0"
"57641000","2267200","3590","520.9"
"58720000","2267200","3590","529.9"
"59805000","2267200","3591","539.3"
"60885000","2267200","3590","547.8"
"62220000","2267200","3590","558.8"
"63299000","2267200","3590","567.7"
"64378000","2267200","3590","576.7"
"65457000","2300200","3590","585.7"
"66536000","2300200","3590","594.2"
"67871000","2300200","3589","605.2"
"68950000","2300200","3588","614.1"
"70035000","2300200","3589","623.1"
"71115000","2300200","3589","632.5"
"72194000","2300200","3589","641.0"
"73529000","2283000","3589","652.0"
"74609000","2283000","3589","660.5"
"75688000","2283000","3588","669.5"
"76767000","2283000","3588","678.5"
"77846000","2283000","3588","687.8"
"79182000","2283000","3588","698.4"
"80266000","2283000","3588","707.4"
"81345000","2271100","3588","715.9"
"82424000","2271100","3588","724.9"
"83503000","2271100","3589","733.8"
"84838000","2271100","3588","744.8"
"85917000","2271100","3588","754.2"
"86996000","2271100","3587","762.7"
"88076000","2271100","3587","771.7"
"89155000","2287300","3587","780.2"
"90495000","2287300","3588","791.2"
"91574000","2287300","3588","800.2"
"92654000","2287300","3588","809.1"
"93738000","2287300","3587","818.1"
"94818000","2287300","3587","827.0"
"96153000","2287300","3587","838.0"
"97233000","2295400","3587","847.0"
"98312000","2295400","3587","855.9"
"99391000","2295400","3586","864.5"
"100476000","2295400","3587","873.4"
"101810000","2295400","3585","884.4"
"102890000","2295400","3586","893.4"
"103969000","2295400","3587","902.7"
"105048000","2285600","3585","911.3"
"106128000","2285600","3586","920.2"
"107462000","2285600","3585","930.8"
"108541000","2285600","3585","939.8"
"109619000","2285600","3585","948.7"
"110704000","2285600","3585","957.7"
"111784000","2285600","3586","967.0"
"113118000","2269800","3585","977.2"
"114196000","2269800","3585","986.2"
"115276000","2269800","3585","995.1"
"116355000","2269800","3585","1004.1"
"117436000","2269800","3587","1013.4"
"118771000","2269800","3586","1023.6"
"119855000","2269800","3587","1032.6"
"120934000","2285400","3586","1041.5"
"122014000","2285400","3586","1050.9"
"123093000","2285400","3587","1059.4"
"124428000","2285400","3587","1070.0"
"125507000","2285400","3587","1079.0"
"126586000","2285400","3586","1087.9"
"127666000","2285400","3586","1096.9"
"128745000","2272400","3586","1105.4"
"130085000","2272400","3586","1116.4"
"131164000","2272400","3586","1125.4"
"132242000","2272400","3586","1134.3"
"133322000","2272400","3586","1143.3"
"134401000","2272400","3585","1152.2"
"135742000","2272400","3586","1163.2"
"136821000","2296000","3585","1172.2"
"137901000","2296000","3585","1181.1"
"138981000","2296000","3585","1189.7"
"140065000","2296000","3585","1198.6"
"141400000","2296000","3585","1209.6"
"142481000","2296000","3586","1219.0"
"143560000","2296000","3586","1227.5"
"144639000","2285100","3586","1236.5"
"145718000","2285100","3585","1245.4"
"147053000","2285100","3585","1256.4"
"148133000","2285100","3585","1265.0"
"149212000","2285100","3585","1273.9"
"150297000","2285100","3585","1282.9"
"151377000","2285100","3585","1291.8"
"152711000","2283000","3584","1302.8"
"153790000","2283000","3584","1311.4"
"154870000","2283000","3584","1320.3"
"155950000","2283000","3585","1329.7"
"157030000","2283000","3584","1338.2"
"158364000","2283000","3585","1349.2"
"159442000","2283000","3585","1358.2"
"160527000","2271100","3585","1366.7"
"161606000","2271100","3585","1376.1"
"162686000","2271100","3584","1384.6"
"164021000","2271100","3585","1395.6"
"165099000","2271100","3585","1404.6"
"166179000","2271100","3586","1413.5"
