Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3576","13.1"
"1079000","0","3584","15.9"
"2160000","0","3583","18.3"
"3244000","0","3588","21.1"
"4323000","0","3582","23.5"
"5658000","0","3583","26.7"
"6738000","0","3584","29.1"
"7817000","0","3586","31.4"
"8903000","0","3584","34.2"
"9982000","0","3583","36.6"
"11317000","0","3584","39.8"
"12397000","0","3583","42.2"
"13477000","0","3585","45.0"
"14557000","0","3583","47.4"
"15636000","0","3581","49.8"
"16971000","0","3581","53.0"
"18050000","0","3583","55.8"
"19136000","0","3581","58.2"
"20215000","650700","3581","60.6"
"21296000","650700","3582","63.4"
"22631000","650700","3581","66.1"
"23710000","650700","3582","68.9"
"24790000","650700","3582","71.3"
"25869000","650700","3583","74.1"
"26949000","650700","3582","76.5"
"28283000","650700","3583","79.7"
"29369000","650700","3582","82.1"
"30448000","650700","3581","84.5"
"31527000","650700","3582","87.3"
"32606000","650700","3581","89.7"
"33942000","650700","3581","92.9"
"35022000","650700","3582","95.2"
"36100000","650700","3581","97.6"
"37179000","650700","3582","100.4"
"38259000","650700","3581","102.8"
"39599000","650700","3581","106.0"
"40679000","650700","3581","108.4"
"41758000","650700","3581","111.2"
"42839000","650700","3581","113.6"
"43918000","650700","3581","116.0"
"45259000","650100","3581","119.2"
"46340000","650100","3582","122.0"
"47420000","650100","3581","124.4"
"48498000","650100","3581","126.7"
"49584000","650100","3582","129.5"
"50918000","650100","3581","132.3"
"51998000","650100","3581","135.1"
"53078000","650100","3581","137.5"
"54157000","650100","3581","139.9"
"55236000","650100","3581","142.7"
"56571000","650100","3581","145.5"
"57651000","650100","3581","148.3"
"58736000","650100","3581","150.7"
"59815000","650100","3581","153.1"
"60894000","650100","3581","155.9"
"62229000","650100","3581","158.6"
"63309000","650100","3581","161.4"
"64388000","650100","3580","163.8"
"65468000","650100","3581","166.6"
"66548000","650100","3581","169.0"
"67882000","650100","3581","172.2"
"68967000","650100","3580","174.6"
"70046000","650100","3580","177.0"
"71127000","650900","3581","179.8"
"72206000","650900","3580","182.2"
"73540000","650900","3581","185.4"
"74619000","650900","3580","187.8"
"75698000","650900","3580","190.1"
"76778000","650900","3581","192.9"
"77857000","650900","3579","195.3"
"79198000","650900","3580","198.5"
"80277000","650900","3580","200.9"
"81357000","650900","3579","203.3"
"82436000","650900","3579","206.9"
"83515000","650900","3579","215.8"
"84850000","650900","3579","227.6"
