Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3572","47.5"
"1080000","0","3594","56.5"
"2161000","2340700","3585","65.8"
"3240000","2340700","3584","74.8"
"4320000","2340700","3586","83.7"
"5654000","2340700","3580","95.1"
"6744000","2340700","3580","104.1"
"7823000","2340700","3586","113.0"
"8903000","2340700","3583","122.4"
"9983000","2325000","3584","131.3"
"11318000","2325000","3585","142.7"
"12398000","2325000","3582","151.6"
"13477000","2325000","3581","160.6"
"14557000","2325000","3585","169.5"
"15637000","2325000","3586","179.3"
"16978000","2341500","3585","190.3"
"18057000","2341500","3584","199.2"
"19137000","2341500","3584","208.2"
"20217000","2341500","3585","217.5"
"21296000","2341500","3584","226.5"
"22632000","2341500","3585","237.4"
"23711000","2341500","3584","246.8"
"24790000","2328000","3584","255.7"
"25870000","2328000","3586","264.7"
"26955000","2328000","3585","274.0"
"28291000","2328000","3586","285.0"
"29370000","2328000","3585","294.4"
"30449000","2328000","3585","303.3"
"31528000","2328000","3585","312.3"
"32607000","2340800","3584","321.6"
"33943000","2340800","3585","333.0"
"35023000","2340800","3584","341.5"
"36103000","2340800","3584","350.9"
"37187000","2340800","3584","359.8"
"38267000","2340800","3584","368.8"
"39602000","2341700","3584","380.6"
"40682000","2341700","3585","389.5"
"41761000","2341700","3585","398.5"
"42840000","2341700","3585","407.4"
"43919000","2341700","3584","416.4"
"45253000","2341700","3585","427.3"
"46334000","2341700","3585","437.1"
"47418000","2312100","3585","445.6"
"48503000","2312100","3585","455.0"
"49582000","2312100","3585","463.9"
"50918000","2312100","3585","474.9"
"51998000","2312100","3585","484.3"
"53077000","2312100","3585","493.2"
"54156000","2312100","3585","502.6"
"55236000","2340800","3585","511.5"
"56570000","2340800","3584","522.5"
"57655000","2340800","3584","531.9"
"58735000","2340800","3584","540.8"
"59815000","2340800","3585","549.7"
"60894000","2340800","3584","559.1"
"62230000","2340800","3584","570.1"
"63309000","2336700","3585","579.4"
