Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"0","0","3631","47.1"
"1085000","0","3595","56.1"
"2164000","2312700","3594","65.0"
"3244000","2312700","3604","74.8"
"4323000","2312700","3595","83.3"
"5658000","2312700","3594","94.3"
"6738000","2312700","3593","103.6"
"7818000","2312700","3595","113.0"
"8897000","2312700","3592","121.9"
"9976000","2342400","3590","130.9"
"11317000","2342400","3593","142.7"
"12397000","2342400","3590","151.2"
"13477000","2342400","3592","161.0"
"14556000","2342400","3589","169.5"
"15636000","2342400","3589","178.5"
"16972000","2341500","3589","189.9"
"18051000","2341500","3591","199.2"
"19132000","2341500","3590","208.2"
"20216000","2341500","3589","217.1"
"21295000","2341500","3590","226.0"
"22630000","2341500","3590","237.8"
"23708000","2341500","3589","246.4"
"24787000","2326900","3589","255.3"
"25867000","2326900","3589","264.7"
"26947000","2326900","3589","274.0"
"28282000","2326900","3588","285.0"
"29361000","2326900","3588","294.4"
"30447000","2326900","3588","303.3"
"31526000","2326900","3589","312.3"
"32605000","2355400","3588","321.6"
"33944000","2355400","3589","332.6"
"35023000","2355400","3588","341.9"
"36102000","2355400","3588","350.9"
"37181000","2355400","3588","359.8"
"38260000","2355400","3588","369.2"
"39596000","2343000","3588","380.6"
"40681000","2343000","3588","389.9"
"41761000","2343000","3589","398.5"
"42840000","2343000","3589","408.2"
"43919000","2343000","3589","416.8"
"45254000","2343000","3589","428.2"
"46334000","2343000","3588","437.1"
"47414000","2326100","3589","446.1"
"48492000","2326100","3588","455.4"
"49572000","2326100","3589","464.4"
"50913000","2326100","3588","475.7"
"51992000","2326100","3589","484.7"
"53072000","2326100","3589","494.0"
"54150000","2326100","3589","503.4"
"55230000","2341400","3589","511.9"
"56565000","2341400","3588","523.3"
"57644000","2341400","3589","532.3"
"58723000","2341400","3589","541.6"
"59802000","2341400","3587","550.6"
"60887000","2341400","3588","559.5"
"62222000","2341400","3588","568.8"
"63301000","2041200","3588","571.2"
"64382000","2041200","3588","573.6"
"65461000","2041200","3588","576.0"
